조사월,기온_C,야간기온_C,DIF,EC_dS_m,일사량_Wm2,slr_wma,관수량,경과일,GDD정규화,GDD정규화_sq,적산온도,누적일사량,CU_norm,연간CU,NDVI,ET0_mm,종형_T,종형_EC,줄기굵기_실측,엽장_실측,런너번호,꽃수,관부직경_mm,과실수대리,과당무게대리_g,수확량_kg_10a,당도_Brix,특품율
11,9.9,-3.0,12.9,1.08,386.6,383.6,0.5,41.0,0.3442,0.1185,20.4,1596.8,0.4844,688.0,0.4435,0.5,124.19,0.0006,4.31,9.0,3.0,14.535416862566796,7.42,10.69,19.7,795.0,5.04,0.376
11,7.6,-3.6,11.2,1.38,325.2,326.5,1.4,44.0,0.3631,0.1319,16.6,1417.3,0.5908,773.0,0.3587,0.5,179.52,0.0794,4.8,11.5,4.0,11.45920450294864,8.26,7.87,16.7,795.0,7.59,0.489
2,6.1,-6.3,12.4,1.87,458.6,453.5,2.9,31.0,0.2617,0.0685,9.6,1439.9,0.3524,582.0,0.269,0.5,221.51,0.5873,6.62,10.5,3.0,11.615637709530647,11.39,8.39,18.4,795.0,7.56,0.435
11,7.8,-5.8,13.6,0.85,399.7,399.0,0.6,56.0,0.4642,0.2155,21.7,2226.5,0.4585,667.0,0.56,0.5,174.9,0.0615,4.95,9.6,1.0,18.74017231651364,8.52,15.02,21.0,795.0,8.29,0.445
1,1.7,-9.1,10.8,1.44,178.6,198.2,3.9,31.0,0.2616,0.0685,2.6,560.9,0.4812,685.0,0.3148,0.5,373.28,0.1169,4.9,13.1,2.0,14.155504635268727,8.43,11.0,14.0,795.0,9.13,0.425
3,5.3,-7.8,13.0,1.23,453.5,473.3,2.8,25.0,0.2115,0.0447,6.7,1151.1,0.7522,902.0,0.3836,0.5,247.78,0.0175,3.32,9.0,2.0,17.440151902289834,5.71,13.68,20.4,795.0,7.34,0.451
1,-1.9,-13.9,12.1,1.49,213.5,214.8,3.2,35.0,0.2919,0.0852,-3.3,747.6,0.5026,702.0,0.276,0.5,522.87,0.152,5.94,16.0,2.0,12.045504394335767,10.22,9.44,15.4,795.0,9.0,0.497
4,17.3,4.4,12.9,1.17,577.3,597.6,2.2,44.0,0.9088,0.8259,38.3,2555.8,0.5897,772.0,0.7294,0.5,13.56,0.0049,6.89,13.0,2.0,15.436956875906555,11.86,12.05,22.3,3411.1,11.04,0.574
1,-0.7,-10.2,9.4,0.52,354.2,357.5,1.0,47.0,0.3908,0.1527,-1.8,1661.0,0.6725,838.0,0.5076,0.5,472.93,0.3343,4.9,10.0,1.0,17.819683000495,8.43,14.5,17.9,795.0,6.77,0.465
1,0.4,-11.3,11.7,0.77,367.4,366.8,3.7,38.0,0.3206,0.1028,0.8,1413.4,0.6611,829.0,0.503,0.5,423.82,0.1079,4.33,13.5,1.0,22.31605536521389,7.45,17.87,19.2,795.0,9.03,0.354
1,-0.7,-11.4,10.7,1.27,280.5,284.5,3.7,14.0,0.1184,0.014,-0.5,398.4,0.5007,701.0,0.2778,0.5,472.57,0.0289,5.5,10.5,2.0,9.643160592840939,9.46,7.63,15.9,795.0,5.13,0.388
12,1.2,-9.4,10.6,1.2,206.8,210.5,2.9,37.0,0.3101,0.0961,2.1,769.3,0.7823,926.0,0.4923,0.5,393.96,0.0107,5.22,16.0,3.0,19.483470369535304,8.98,14.64,14.9,795.0,7.94,0.447
11,7.6,-6.2,13.8,1.11,365.6,361.1,0.2,47.0,0.3946,0.1557,18.1,1731.1,0.7707,917.0,0.4306,0.5,178.5,0.0002,5.4,9.3,4.0,18.744852006003477,9.29,13.48,20.1,795.0,6.0,0.47
11,5.9,-7.5,13.4,1.81,323.7,321.6,0.9,20.0,0.1681,0.0283,6.0,652.9,0.5609,749.0,0.3146,0.5,227.68,0.5106,5.37,15.0,2.0,13.443961435280034,9.24,10.53,17.4,795.0,5.96,0.264
3,6.1,-2.1,8.2,0.93,590.8,583.6,0.9,53.0,0.4393,0.193,16.2,3114.6,0.9954,1096.0,0.6054,0.5,221.0,0.0275,6.04,16.4,1.0,12.84803831486171,10.39,11.03,19.4,795.0,8.47,0.405
2,-0.9,-10.5,9.6,0.99,421.0,426.4,3.7,59.0,0.4934,0.2435,-2.7,2492.6,0.6732,839.0,0.6535,0.5,479.94,0.012,4.15,15.0,3.0,11.998282068133857,7.14,8.94,17.8,795.0,10.05,0.575
3,4.8,-3.8,8.6,1.48,431.0,420.4,1.2,47.0,0.3889,0.1513,11.2,2011.6,0.7555,904.0,0.4615,0.5,262.48,0.145,3.0,10.5,3.0,19.12043959075708,5.16,14.34,16.0,795.0,8.91,0.505
