date,harvest_kg,month,year,lines,source
2022-12-04,23.5,12,2022,"ㅡ . 1 번동 , 5 번동 , HIS 수확함 ( 형스치 18 1380 출하 2kg 47Box, 스치 The 448)",영농 일지_ver1_73.png
2022-12-15,1.0,12,2022,"~ SHS, AHS, SHS 수확함출하 SSbox, 스치 Ikg SBox, 지인소매 \ 2Box",영농 일지_ver1_84.png
2022-12-21,24.5,12,2022,"-. 1 번동 , OHS 수확출하 S17Box, 상 380× 지인소매 32Box 스치 148",영농 일지_ver1_90.png
2023-01-11,3.0,1,2023,1월 11 일수요일날씨맑음최고기온 12 도디ㅣ - 전동수확함 . 출하특 1880 상 580% 지인소매스치 148 6Box,영농 일지_ver1_111.png
2023-01-13,7.0,1,2023,"- 전동수확함출 : 10Box, 4 4Box, 바라 2kg,",영농 일지_ver1_113.png
2023-01-17,3.0,1,2023,~ AS 수확함 100%% 익은과일만수확특지바스 6 개지인소매,영농 일지_ver1_117.png
2023-01-18,10.0,1,2023,"- 전동수확함회박스 18 개 , 특 1480× 상 2Box, 지인소매스치 18 180×",영농 일지_ver1_118.png
2023-01-22,8.0,1,2023,"~ 전동수확함출하특 16Box(M SSM), 스치 Ike 680*×( 천안상사 )",영농 일지_ver1_122.png
2023-01-24,9.0,1,2023,"… HE 수확함 _ 출하 S10Box, 상 2Box, 스치 1<9 344 3380%( 천안 ), 3x5 6Box",영농 일지_ver1_124.png
2023-01-25,1.0,1,2023,~ 어머니스치 2Box 의뢰하여일부수확,영농 일지_ver1_125.png
2023-01-27,3.5,1,2023,"ㅡ전체동수확함 - 출하 S7Box, 상 280 지인소매스치 & 1180",영농 일지_ver1_127.png
2023-01-29,19.0,1,2023,"1월 29 일일요일 SM 맑음최고기온 1 도ㅡ전동수확함 _ 출하특 1980× 상 2Box, 스치 3°5 36Box, 바라 280×",영농 일지_ver1_129.png
2023-02-01,37.0,2,2023,"~ 전동수확함 - 출하특 1080 상 180※ 스치 18 74Box, 바라 SBox",영농 일지_ver1_132.png
2023-02-03,9.5,2,2023,"2월 03 일금요일날씨맑음최고기온 3도ㅡ전동수확함 _ 출하 S19Box, 스치 8 14880× 회박스 2580×",영농 일지_ver1_134.png
2023-02-05,68.0,2,2023,"2월 5 일일요일남씨맑음최고기온 8 도ㅡ전체동수확함출하 S51Box, 스치 18 85Box, 바라 480",영농 일지_ver1_136.png
2023-02-06,10.5,2,2023,"-. MAIS 수확함 S17Box, 바라 4Box",영농 일지_ver1_137.png
2023-02-08,39.5,2,2023,"2월 8 일수요일날씨맑음최고깅온 12 도ㅡ전동수확함출하특 55 박스 , 168 스치 24 박스",영농 일지_ver1_139.png
2023-02-10,66.0,2,2023,". AS 수확함 ._ 출하지박스특 78 개 , kg 스치 44 개 , 상바라 10 개수확량전체포장못해일부지인선물함",영농 일지_ver1_141.png
2023-02-12,44.5,2,2023,"- 전동수확함 . 출하지박스특 61 개 , 168 스치 25 개 , 바라 3 개함",영농 일지_ver1_143.png
2023-02-13,9.5,2,2023,"ㅁ -. 3 번동 ~ 6 번동수확함출하지박스 15 개 , 168 스치 37H, 지인소매ㅁ tkg 스치 4 개",영농 일지_ver1_144.png
2023-02-15,34.5,2,2023,"-. 3 번동 ~ 6 번동수확함 _ 출하특 58 개 , 상 2 개 , 바라 6 개지인회박스 3 개택배배송함",영농 일지_ver1_146.png
