#,영역,파일명,크기,목적
1,1. 종합보고서,F2_사업계획서_v2.0.docx,12.4 KB,"F3 baseline R²=0.14, 17.865억 R&D"
2,1. 종합보고서,F2_R&D사업_v2.0.docx,11.8 KB,"24개월, 17.865억 상향"
3,1. 종합보고서,H_20농가_통합_종합.xlsx,-,매칭 가설 100%
4,1. 종합보고서,I_종합보고서.xlsx,-,I1·I2·I3 통합
5,1. 종합보고서,J_사업계획서_v3.0.docx,13.5 KB,R²=0.553 baseline
6,1. 종합보고서,K_권고모델.csv,-,v6.0 18개 농학 무용 입증
7,1. 종합보고서,L_v5_20농가_종합.xlsx,-,외부 R² 0.553→0.800
8,1. 종합보고서,M_SFIO_7개월_히스토리.docx,17.5 KB,17단계 진화
9,1. 종합보고서,N_사업계획서_v3.1_최종.docx,14.1 KB,ARIMA 검토 반영
10,1. 종합보고서,O1_RCT_프로토콜_v2.0.docx,11.6 KB,130농가 12개월
11,1. 종합보고서,O2_SCI_Paper_Draft.docx,13.1 KB,CEA 타깃
12,1. 종합보고서,O3_KAB_인증신청서.docx,10.6 KB,TTA/KSA 신청용
13,1. 종합보고서,O4_프로젝트_종합보고서.docx,13.4 KB,14개 산출물 통합
14,1. 종합보고서,P_SFIO_v6배제_종합.docx,17.5 KB,v6.0 완전 배제
15,1. 종합보고서,U5_종합보고서.docx,11.9 KB,7개월 + 13개 자료 평가
16,1. 종합보고서,V_정정분류.csv,-,KAFFTC→이암허브 정정
17,1. 종합보고서,W_M_BM_제안서.docx,13.4 KB,우수농가 벤치마킹
