도,시군,품목,작기,농가명,조사일자,개체번호,액아구분,초장,엽수,엽장,엽폭,엽병장,관부직경,화방번호,화방별착과수,비고
전북,군산,딸기,1,17,2025-10-07,1,본주,39.28,8,16,14,28,25,1,,
전북,군산,딸기,1,17,2025-10-14,2,본주,58.73,11,22,20,40,37,2,,
전북,군산,딸기,1,17,2025-10-21,3,본주,85.18,13,26,24,48,45,3,,
전북,군산,딸기,1,17,2025-10-28,4,본주,112.88,17.7,35.4,33.4,66.8,63.8,4,,
전북,군산,딸기,1,17,2025-11-04,1,본주,137.2,20,40,38,76,73,5,,
전북,군산,딸기,1,17,2025-11-11,2,본주,167.3,22,44,42,84,81,6,,
전북,군산,딸기,1,17,2025-11-18,3,본주,194.7,16.7,33.4,31.4,62.8,59.8,7,1,
전북,군산,딸기,1,17,2025-11-25,4,본주,218.3,15.4,30.8,28.8,57.6,54.6,1,,
전북,군산,딸기,1,17,2025-12-02,1,본주,447.1,15.1,30.2,28.2,56.4,53.4,2,,
전북,군산,딸기,1,17,2025-12-09,2,본주,477,14.5,29,27,54,51,3,,
전북,군산,딸기,1,17,2025-12-16,3,본주,500.8,13,26,24,48,45,4,,
전북,군산,딸기,1,17,2025-12-23,4,본주,524,11.8,23.6,21.6,43.2,40.2,5,,
전북,군산,딸기,1,17,2026-12-30,1,본주,541,12.4,24.8,22.8,45.6,42.6,6,,
전북,군산,딸기,1,17,2026-01-06,2,본주,558,10.4,20.8,18.8,37.6,34.6,7,1,
전북,군산,딸기,1,17,2026-01-13,3,본주,578,10.6,21.2,19.2,38.4,35.4,1,,
전북,군산,딸기,1,17,2026-01-20,4,본주,598,11.3,22.6,20.6,41.2,38.2,2,,
전북,군산,딸기,1,17,2026-01-27,1,본주,617,12,24,22,44,41,3,,
전북,군산,딸기,1,17,2026-02-03,2,본주,637,12.9,25.8,23.8,47.6,44.6,4,,
전북,군산,딸기,1,17,2026-02-10,3,본주,656,15,30,28,56,53,5,,
전북,군산,딸기,1,17,2026-02-17,4,본주,676,17.4,34.8,32.8,65.6,62.6,6,,
전북,군산,딸기,1,17,2026-02-24,1,본주,693,16.8,33.6,31.6,63.2,60.2,7,1,
전북,군산,딸기,1,17,2026-03-03,2,본주,712,19,38,36,72,69,1,,
