도,시군,품목,작기,농가명,측정시간,온도_외부,풍향_외부,풍속_외부,일사량_외부,누적일사량_외부,강우감지,온도_내부,상대습도_내부,잔존CO2,토양온도
전북,군산,딸기,1,17,2025-10-07,24,0,0,236,8176,0,24,76.9,394.4,
전북,군산,딸기,1,17,2025-10-14,25.4,0,0,957,7397,0,25.4,77.5,336,
전북,군산,딸기,1,17,2025-10-21,22.4,0,0,1003,5598,0,22.4,81.7,336,
전북,군산,딸기,1,17,2025-10-28,20.7,0,0,849,7225,0,20.7,78.1,336,
전북,군산,딸기,1,17,2025-11-04,19.9,0,0,608,8381,0,19.9,79.8,339,
전북,군산,딸기,1,17,2025-11-11,19.8,0,0,322,7055,0,19.8,84.9,377,
전북,군산,딸기,1,17,2025-11-18,19.5,0,0,236,7086,0,19.5,84.3,390,
전북,군산,딸기,1,17,2025-11-25,19,0,0,957,5961,0,19,82.5,405,
전북,군산,딸기,1,17,2025-12-02,18.4,0,0,1003,5136,0,18.4,85.4,383,
전북,군산,딸기,1,17,2025-12-09,18,0,0,849,5894,0,18,88.1,409,
전북,군산,딸기,1,17,2025-12-16,16.9,0,0,608,4542,0,16.9,89.4,395,
전북,군산,딸기,1,17,2025-12-23,16.8,0,0,322,3883,0,16.8,90.4,416,
전북,군산,딸기,1,17,2026-12-30,16,0,0,236,4343,0,16,88.7,427,
전북,군산,딸기,1,17,2026-01-06,16.1,0,0,957,4922,0,16.1,85.1,432,
전북,군산,딸기,1,17,2026-01-13,16.7,0,0,1003,5813,0,16.7,84.6,421,
전북,군산,딸기,1,17,2026-01-20,17,0,0,849,5090,0,17,87.2,424,
전북,군산,딸기,1,17,2026-01-27,16.7,0,0,608,6553,0,16.7,83.5,436,
전북,군산,딸기,1,17,2026-02-03,17.2,0,0,322,6920,0,17.2,82,432,
전북,군산,딸기,1,17,2026-02-10,17.7,0,0,236,7695,0,17.7,80,420,
전북,군산,딸기,1,17,2026-02-17,17.5,0,0,957,5993,0,17.5,83.6,408,
전북,군산,딸기,1,17,2026-02-24,18,0,0,1003,8972,0,18,77.82,364,
전북,군산,딸기,1,17,2026-03-03,17.6,0,0,849,7606,0,17.6,81.3,384,
